,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,trending,updated_github_id,gem_url,apt_id,new_addition
0,weboftrust,https://github.com/WebOfTrust,organizations,Standards Relating to a Web Of Trust Based on Autonomic Identifier Systems.,True,['weboftrust'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,identity-foundation,https://identity.foundation/,organizations,"Developing the foundational components of an open, standards-based, decentralized identity ecosystem for people,..",True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,solidproject,https://github.com/solid,organizations,Re-decentralizing the web.,True,['solid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,w3c,https://github.com/w3c,organizations,We are an international community that develops open standards to ensure the long-term growth of the Web.,True,['w3c'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,openid,https://github.com/openid,organizations,OpenID Foundation Working Groups.,True,['openid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,trustoverip,https://github.com/trustoverip,organizations,Trust over IP Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,41,True,nextauthjs/next-auth,next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-12-21 14:57:52.000000,2023-12-21 14:54:05,2687.0,214.0,2485.0,97.0,2138.0,259.0,3529.0,20325.0,100.0,172793.0,172793.0,607.0,https://www.npmjs.com/package/next-auth,3010410.0,3010410.0,1.0,,,,,,,,,,,,,,,,,,,,
7,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-12-19 00:09:17.000000,2023-12-12 15:06:38,3811.0,57.0,1896.0,237.0,4088.0,94.0,2118.0,11519.0,67.0,5710.0,5710.0,374.0,,,2833927.0,1.0,coredns/coredns,2023-08-15 20:00:30,1.11.1,6938158.0,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,145.0,256138714.0,,,,,,,,,,,,
8,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",40,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-12-21 17:32:31.350208,2023-12-21 16:52:10,4933.0,155.0,1193.0,125.0,4037.0,319.0,2125.0,8771.0,100.0,3183.0,3183.0,433.0,,,5031800.0,1.0,openpolicyagent/opa,2023-12-21 10:41:47,0.60.0,4897679.0,https://hub.docker.com/r/openpolicyagent/opa,2023-12-21 17:32:31.350208,41.0,474010983.0,,,,,,,,,,,,
9,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],39,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-12-21 17:49:29.000000,2023-12-21 14:33:12,8215.0,175.0,1898.0,148.0,3170.0,170.0,3002.0,10969.0,100.0,722.0,722.0,422.0,,,1738351.0,1.0,,2023-12-12 16:08:13,1.12.7,66057369.0,,,,,,,,,,,,,,,,
